标题,采购项目名称,预算总金额,采购单位,截止报名时间,选取中介服务机构方式,项目内容
关于为【东区街道星汇品峰东侧用地电力迁改工程测量服务】公开选取【测绘】机构的公告,东区街道星汇品峰东侧用地电力迁改工程测量服务,其他,中山市东区街道城市更新和建设服务中心,2025-11-21 09:30,直接选取,对电塔及专用台变进行拆除，迁改，公用线路新建设施包括：自动化分接箱1套；新增高压电缆，同时新增行车直线长井及其他相关电力设施。对相关区域进行测量，为设计、报建提供前期资料。
关于为【康北工业园项目选取测绘单位】公开选取【测绘】机构的公告,康北工业园项目选取测绘单位,"投资额（¥158,200.00元）",中山市沙溪镇城市建设和管理局,2025-11-20 17:30,直接选取,为推动康北工业园项目土地整理工作，选取用地测绘服务单位。
关于为【中山市大涌镇祥安仙福园殡葬设施改造提升项目物探测量】公开选取【测绘】机构的公告,中山市大涌镇祥安仙福园殡葬设施改造提升项目物探测量,平方米（36273.84平方米）,中山市大涌镇公共服务办公室,2025-11-20 16:20,直接选取,项目改造提升仙福园现有骨灰廊、骨灰楼、办公楼，新建骨灰楼，对道路、地下管网排水、绿化、安防、消防、智慧停车进行升级改造。现需对地下管线探测，做好物探工作，建筑物户型测量。服务单位应按照项目业务的要求对本项目内容进行测量等工作。
关于为【联富社区岐濠路农房风貌提升项目测绘服务】公开选取【测绘】机构的公告,联富社区岐濠路农房风貌提升项目测绘服务,"投资额（¥1,000,000.00元）",中山火炬高技术产业开发区政务数据和社会事务局,2025-11-20 15:30,直接选取,本项目位于火炬开发区联富社区，服务内容：对项目所涉区域开展1:500地籍测绘和建筑外立面测绘。
关于为【东凤镇影像设计图服务项目】公开选取【测绘】机构的公告,东凤镇影像设计图服务项目,"投资额（¥39,000.00元）",中山市东凤镇城市更新和建设服务中心,2025-11-20 15:30,直接选取,根据业主要求，提供东凤镇影像设计图服务，服务内容包括1.中山市东凤镇辖区范围面积约55平方公里的卫星影像数据；2.数据拍摄时间2025年；3.数据分辨率0.5米，比例尺1:5000；4.影像数据图纸20幅。
关于为【中山市东区中学1：500地籍测绘服务】公开选取【测绘】机构的公告,中山市东区中学1：500地籍测绘服务,平方米（29210.28平方米）,中山市东区中学,2025-11-20 15:00,直接选取,对本宗面积29210.28平方米地块进行1:500地籍测绘的测量服务
关于为【 西湾物业公司房地产土地测量服务项目】公开选取【测绘】机构的公告,西湾物业公司房地产土地测量服务项目,"资产总额（¥400,000.00元）",中山市南朗镇物业管理有限公司,2025-11-19 17:30,直接选取,要求能为物业公司完成对西湾物业公司房地产土地测量服务项目
关于为【翠亨新区项目中心工程零星测量服务（年度服务包 2025-2026）】公开选取【测绘】机构的公告,翠亨新区项目中心工程零星测量服务（年度服务包 2025-2026）,"投资额（¥800,000.00元）",中山翠亨新区工程项目建设事务中心,2025-11-19 17:30,方案择优选取,①中山翠亨新区（含南朗街道）范围内的政府投资零星工程项目在工程建设阶段所涉及的工程测绘（含物探）提供测量服务，并按照建设单位要求出具对应的测量成果（中山市地理信息库入库成果及提供中山市坐标和2000坐标的测绘成果），并包含分幅图件处理服务。②服务时期按照签署合同后的一年内或者结算金额达到合同总额为止。③每次入场的测量服务项以建设单位发出的任务指令为准。（如果本栏目内容与采购需求书不一致，以采购需求书为准）
关于为【群联村东风小组抽水泵站重建工程】公开选取【测绘】机构的公告,群联村东风小组抽水泵站重建工程,"投资额（¥200,000.00元）",中山市坦洲镇群联村民委员会,2025-11-18 17:20,直接选取,对群联村东风小组抽水泵站重建工程进行测量，并出具测量成果图
关于为【中山市南朗街道濠涌村农房风貌及环境提升工程项目测绘】公开选取【测绘】机构的公告,中山市南朗街道濠涌村农房风貌及环境提升工程项目测绘,"投资额（¥1,000,000.00元）",中山市南朗街道濠涌股份合作经济联合社,2025-11-18 10:40,直接选取,按有关要求及技术标准对项目进行测绘服务
