标题,采购项目名称,预算总金额,采购单位,截止报名时间,选取中介服务机构方式,项目内容
关于为【 西湾物业公司房地产土地测量服务项目】公开选取【测绘】机构的公告,西湾物业公司房地产土地测量服务项目,"资产总额（¥400,000.00元）",中山市南朗镇物业管理有限公司,2025-11-19 17:30,直接选取,要求能为物业公司完成对西湾物业公司房地产土地测量服务项目
关于为【翠亨新区项目中心工程零星测量服务（年度服务包 2025-2026）】公开选取【测绘】机构的公告,翠亨新区项目中心工程零星测量服务（年度服务包 2025-2026）,"投资额（¥800,000.00元）",中山翠亨新区工程项目建设事务中心,2025-11-19 17:30,方案择优选取,①中山翠亨新区（含南朗街道）范围内的政府投资零星工程项目在工程建设阶段所涉及的工程测绘（含物探）提供测量服务，并按照建设单位要求出具对应的测量成果（中山市地理信息库入库成果及提供中山市坐标和2000坐标的测绘成果），并包含分幅图件处理服务。②服务时期按照签署合同后的一年内或者结算金额达到合同总额为止。③每次入场的测量服务项以建设单位发出的任务指令为准。（如果本栏目内容与采购需求书不一致，以采购需求书为准）
关于为【群联村东风小组抽水泵站重建工程】公开选取【测绘】机构的公告,群联村东风小组抽水泵站重建工程,"投资额（¥200,000.00元）",中山市坦洲镇群联村民委员会,2025-11-18 17:20,直接选取,对群联村东风小组抽水泵站重建工程进行测量，并出具测量成果图
关于为【中山市南朗街道濠涌村农房风貌及环境提升工程项目测绘】公开选取【测绘】机构的公告,中山市南朗街道濠涌村农房风貌及环境提升工程项目测绘,"投资额（¥1,000,000.00元）",中山市南朗街道濠涌股份合作经济联合社,2025-11-18 10:40,直接选取,按有关要求及技术标准对项目进行测绘服务
关于为【桂兴公司半年度零星小额测绘工程服务项目】公开选取【测绘】机构的公告,桂兴公司半年度零星小额测绘工程服务项目,"投资额（¥50,000.00元）",中山市桂兴资产经营有限公司,2025-11-18 10:30,直接选取,开展我司资产管理工作的零星测绘、定点放桩、打印图纸等零星小额测绘工程服务。
关于为【琅环湖科创园边坡治理工程用地测量及规划放线服务】公开选取【测绘】机构的公告,琅环湖科创园边坡治理工程用地测量及规划放线服务,"投资额（¥33,255,500.00元）",中山市泰德信工程管理有限公司,2025-11-17 17:10,直接选取,1、服务内容:（1）本项目用地测量内容包括但不限于：服务单位需按照相关部门技术要求，开展工作，并出具项目用地宗地图，用地实测图通过市基础地理信息中心审核入库。协助业主单位开展项目用地预审及规划选址意见书办理工作等工作。包括但不限于宗地测量图（中山坐标dwg文件、大地2000坐标dwg文件）、用地坐标txt文件等。（2）本项目规划放线内容包括但不限于：完成规划放线、施工前交桩（包括但不限于放线、交桩）等工作（依据项目规模及规划情况，完成规划放线测绘，出具有符合要求的《建设工程规划放线测量技术报告》。2、服务要求:（1）服务单位在后续服务中，项目负责人需要在收到通知后2小时内能够到达现场。（2）服务单位需要满足后续项目报建要求。（3）用地测量及规划放线测绘成果均需满足相关政策文件要求并取得自然资源局的相关批复（或完成备案）。（4）服务单位在服务全过程所提交的图纸电子版（包括WORD、PDF、CAD等），必须与纸质版保持一致。3、服务工期：需在采购单位提供资料后10个自然日并出具正式报告。若因自身原因造成逾期的，按每天500元进行处罚，在服务费中扣除。（本项目发改概算批复金额为33255500.00元）
关于为【黄圃镇鳌山村2025年沙涌南街景观风貌提升工程测绘】公开选取【测绘】机构的公告,黄圃镇鳌山村2025年沙涌南街景观风貌提升工程测绘,"投资额（¥350,000.00元）",中山市黄圃镇鳌山村股份合作经济联合社,2025-11-17 17:10,直接选取,本工程对沙涌南街部分房屋外立面进行改造工程，中选服务机构需对该项目进行规划测量、地形测量工作，并出具相关测绘成果（含电子光盘）。
关于为【2025年坦洲镇十四村社区公共空间提升及人居环境整治项目测量服务】公开选取【测绘】机构的公告,2025年坦洲镇十四村社区公共空间提升及人居环境整治项目测量服务,"投资额（¥736,200.00元）",中山市坦洲镇十四村社区居民委员会,2025-11-17 15:10,直接选取,完成2025年坦洲镇十四村社区公共空间提升及人居环境整治项目地形图测量服务。
关于为【2025年坦洲镇十四村社区存量农房风貌提升项目测量服务】公开选取【测绘】机构的公告,2025年坦洲镇十四村社区存量农房风貌提升项目测量服务,"投资额（¥377,935.49元）",中山市坦洲镇十四村社区居民委员会,2025-11-17 15:10,直接选取,完成2025年坦洲镇十四村社区存量农房风貌提升项目测量服务
关于为【2025年三角镇违法建设测绘项目（第二期）】公开选取【测绘】机构的公告,2025年三角镇违法建设测绘项目（第二期）,其他,中山市三角镇综合行政执法局,2025-11-17 11:40,直接选取,根据项目业主工作要求，开展违法建设测量工作，提供违法建设测量服务。对辖区内的各类建筑（构）物进行实地测量（包括框架结构、钢架结构、砖棚结构、简易棚结构）的厂房、住宅、工棚、养殖场棚、涉水违建及堆填物等。
关于为【中山市东区街道暗涵治理工程（二标段）规划放线测量服务】公开选取【测绘】机构的公告,中山市东区街道暗涵治理工程（二标段）规划放线测量服务,其他,中山市东区街道城市更新和建设服务中心,2025-11-17 09:30,信用择优选取,对该项目进行规划放线、规划验线，并提供合格验线报告及主管部门的验线合格证。
关于为【安置房测绘服务】公开选取【测绘】机构的公告,安置房测绘服务,其他,中山市土地房屋征收管理中心,2025-11-14 15:30,信用择优选取,为做好11宗安置房的办证工作，拟对该11宗安置房进行入户测绘，测绘数据需在中山市不动产权籍管理系统办理成果入库。需进行测绘的房源具体：（一）和平正街2号4宗商铺，1宗住宅：分别为和平正街2号15卡、16卡、25卡、26卡商铺，和平正街2号C梯204房。（二）张溪豪苑2宗车房，分别为张溪豪苑D幢604房对应车房（编号为E30），张溪豪苑内编号为E24的车房。（三）石岐街道保宁里1号4宗车房。
关于为【广澳高速改扩建工程项目新增翠亨服务区测量服务】公开选取【测绘】机构的公告,广澳高速改扩建工程项目新增翠亨服务区测量服务,"投资额（¥160,000.00元）",中山翠亨新区土地房屋征收中心,2025-11-14 12:00,直接选取,根据要求，开展1：500实测现状地形图测绘工作，同时提供现场测绘并出具测绘蓝图；广澳高速改扩建工程项目新增翠亨服务区项目测量的宗地、房产测绘和青苗及地上附着物清点。
关于为【东凤镇小区排水管网错混接改造工程三期测绘服务】公开选取【测绘】机构的公告,东凤镇小区排水管网错混接改造工程三期测绘服务,"投资额（¥23,338,300.00元）",中山市东凤镇城市建设和管理局,2025-11-14 11:10,直接选取,对东凤镇小区排水管网错混接改造工程三期所涉及7个小区进行排水管线及立管测量。测绘结果主要用于工程设计。
